raceName,origen,raceDescription,bonusRules,movementSpeed,lifeSpan,longevity,attributes,sizes,ability1_name,ability1_description,ability2_name,ability2_description,ability3_name,ability3_description,ability4_name,ability4_description,ability5_name,ability5_description,ability6_name,ability6_description,ability7_name,ability7_description,ability8_name,ability8_description,languages,nightVision,relations,culture,subtypes,referenceLink,__file,image,isVariant
Humanos,Plano Material,"Los humanos son extremadamente comunes en las tierras habitadas gracias a su gran adaptación al entorno, al medio y a la propia genética. No destacan en ningún aspecto pero tampoco se quedan atrás en ninguno, cada uno tiene sus fuerzas y debilidades, ventajas y desventajas.",+2 en cualquier característica (o +1 a dos características).,6,70-100,,Fuerza:+2; Destreza:+2; Constitución:+2; Inteligencia:+2; Sabiduría:+2; Carisma:+2,2; 3; 4,Versatilidad,"Eliges un arma, artefacto, Kit de herramientas o idioma en el que ser competente.",Heroicidad,"Cada Descanso Largo obtienes 1 Inspiración que desaparece al realizar un Descanso Largo si no se usa. Esta inspiración te permite repetir una tirada cualquiera aun si el resultado es 1.",,,,,,,,,,,,,,False,,,,,humano.json,razas/humano.png,0
SELLADOS,Variable (raza original),"Criatura cuya esencia ha sido confinada dentro de un objeto físico (botella, libro, espada, joya...). Su estado depende del contenedor y puede permanecer así hasta que sea destruido o se deteriore. Esta condición concede poderes únicos pero limita el movimiento.","Mantienes las bonificaciones raciales de tu raza original. Además, eliges +1 en una característica a tu elección.",0 (excepto en casos muy concretos definidos por el DM),Hasta ser destruido o que el estado físico del contenedor sea deplorable.,,A elegir:+1,1; 2; 3; 4; 5; 6,,,Utilitarismo,"Tu bonificador de característica aumenta con el nivel y puede superar 20. Nivel 1 → +1, Nivel 3 → +2, Nivel 5 → +3, Nivel 7 → +4, Nivel 9 → +5. Este bono se aplica a las tiradas relacionadas con tu contenedor o propósito.",Salir de Forma (Opcional),"Puedes manifestarte hasta a 10 metros de tu contenedor en una forma similar a tu aspecto original, con un aire fantasmagórico o mágico. Esto depende de las condiciones de tu confinamiento.",Poderes del Contenedor,"Puedes definir entre 1 y 5 efectos o habilidades propios de tu receptáculo. Además, quien te use como objeto recibe el bono de Utilitarismo en tiradas relacionadas contigo y tu propósito.",,,,,,,,,Los de tu raza original,False,,,,,sellado.json,razas/sellado.png,1
Enanos,Plano Material,"De baja estatura pero con una valentía a la altura de la situación. Los enanos son grandes guerreros, pero en lo que sobresalen es en su gran ingenio para sobresalir de las peores situaciones y crear grandes artilugios adelantados a su tiempo. Provenientes de las frías montañas, su carácter suele ser tosco y fuerte, siempre agradecidos de una buena jarra de sidra o alcohol acompañados de una buena pieza de carne.",,5,,,Fuerza:+1; Constitución:+2,2,Dureza de Montaña,Eres resistente al daño de veneno (-50%) y tienes ventaja en tiradas de salvación contra ser Envenenado o Drogado.,Valentía,"Todas las tiradas de Salvación de Carisma relacionadas a Asustarte, Aterrarte o Intimidarte tienen ventaja.",Hierro en la Sangre,"Obtienes competencia en herramientas de Herrero. Si ya posees esta competencia, la conviertes en 'Experto' (x2).",,,,,,,,,,,,False,,,,,enano.json,razas/enano.png,0
VAMPIROS,Plano Material (no-muerto),"Los vampiros son víctimas de una Maldición que los hará bestias sedientas de sangre si no suplen su insaciable voracidad por esta. Hay muchas razones por las que un sujeto puede caer víctima de esta conversión, pero todas tienen en común que fueron durante una noche muy silenciosa, solo contemplada por la luna",,+2c,Longevamente inmortales,,Destreza:+2,1; 2; 3; 4; 5; 6,Mordida,Como ataque especial puedes morder con tus dientes causando 1d8 + Mod. Destreza de daño Perforante. Si el objetivo no supera una Salvada de Constitución (CD: 8 + Mod. Destr. + Mod. Comp) también le chuparás sangre y te curarás 1/2 del daño realizado. Puedes alimentarte únicamente de sangre,Poderes sobrenaturales,"Obtienes la posibilidad de transformarte en un murciélago a voluntad. Esta forma tiene 3d4 (8) PG's y no tienes límite de tiempo en esta forma. Además, si tus puntos de Golpe se reducen a 0 te convertirás en murciélago en vez de caer al suelo. Si logras escapar con vida, obtendrás 4 niveles de cansancio. 1 vez por Descanso largo.",Debilidades vampíricas,"Eres vulnerable al Daño provocado por armas de Plata, agua u objetos bendecidos y al daño Radiante. Se te considera No Muerto a todos los efectos y no podrás entrar a una residencia Bendecida si no te dan permiso",,,,,,,,,,,,False,,,,,vampiro.json,razas/vampiro.png,1
Medianos,Plano Material,"Suertudos y con grandes habilidades soc    iales, los Medianos no suelen meterse en conflictos ni buscan la guerra. Al contrario, les encanta la paz y la tranquilidad que esta les entrega a los pueblos. Aman charlar (mucho), disfrutar de una rica cena y fumar pipa.",,5,150-250,,Destreza:+1; Carisma:+2,2,Suerte,"Si sacas un 1 en cualquier tipo de tirada, puedes volver a lanzar el dado (una vez por prueba). Puedes usar este rasgo tantas veces como tu modificador de Carisma (se recupera tras un descanso largo).",Pequeña Valentía,"Tienes ventaja en tiradas de salvación que traten de asustarte. Además, si eres sorprendido puedes lanzar 1d20 + tu modificador de Carisma. Si consigues 11 o más, no serás sorprendido.",,,,,,,,,,,,,,False,,,,,mediano.json,razas/mediano.png,0
MESTIZOS,Viariable (Depende de las razas mestizadas),"Que hay más constante en el mundo que el sexo y las ganas de experimentar? Exacto, los embarazos fortuitos. Gracias a la gran capacidad social de la gran mayoria de razas que poblan Fáerun y al constante conflicto, intereses e historias locas de romance iniciadas por un cúmulo de locas casualidades, surgen diferentes híbridos con aspectos inusuales y características suaves (o no tanto) que muestran su mezcla de linajes. Los Mestizos son la muestra viviente de que en el fondo no somos tan diferentes. Y que follarse a un gato no es ilegal. Miau.",Adquieres la primera característica de la raza y una negativa (si tiene) +1 característica a elección.,La media de ambos progenitores en,La más alta de ambos progenitores,,🔷:Adquieres la característica más alta de un progenitor;  🔷:Adquieres la característica más baja de tu otro progenitor,1; 2; 3; 4; 5; 6,Heredar Habilidades,Adquieres todas las habilidades de tus progenitores y todas sus desventajas. Si tu ascensión es Infernal y Feérica (Pues a tu padre Elfo le interesó de sobremanera una Tiefling buenorra) tendrás ambas categorías,Límites de Mestizaje,"No pueden existir mestizos con No Muertos. En caso de un Forjado, sería más un Cyborg que un mestizo, pero si estaria permitido",,,,,,,,,,,,,,False,,,,,semihumano.json,razas/semihumano.png,1
NO MUERTOS,Plano Material (no-muerto),"Los No Muertos son restos de vidas pasadas, atrapados entre el mundo de los vivos y el reino de los muertos. Mientras sus cuerpos se descomponen, sus almas persisten, negándose a desvanecerse. Algunos son simples husks sin voluntad, mientras que otros, como los Liches, eligen este estado para perseguir objetivos más allá de las limitaciones mortales. Rechazados por los dioses y temidos por los vivos, los No Muertos caminan una línea tenue entre la existencia y la aniquilación, a menudo impulsados por un propósito insondable.",Características de tu raza original.,?,? ,,Constitución:+2,1; 2; 3; 4; 5; 6,Necromancia,"No necesitas comer ni beber para sobrevivir, tu estado no-muerto te sustenta de manera sobrenatural. Lastimosamente, eres vulnerable al daño Radiante y a objetos bendecidos",Cauterización Natural,"Tu sangre, si es que aún tienes, está coagulada y podrida, lo que te hace inmune al sangrado. Además, eres inmune a venenos, daño necrótico y alucinógenos químicos.",Beneplácito de Myrkul,"Una vez por descanso largo, si tus puntos de vida caen a 0, recuperas automáticamente 1 punto de vida, manteniéndote funcional en el borde de la muerte.",,,,,,,,,,,,False,,,,,no-muerto.json,razas/no-muerto.png,1
SHURA,Plano Material (origen desconocido),"Los Shura son producto de tragedias como una violación, un asesinato o una venganza. Nacen de madres que murieron embarazadas y cercanas a dar a luz. Estos mal llamados 'espíritus de la venganza' suelen ser personas que buscan apagar una insaciable sed de violencia que eventualmente los consume. Algunos Shura se aíslan para evitar dañar a otros, mientras que otros sucumben a su naturaleza, encontrando placer en arrebatar vidas para intentar llenar un vacío infinito. Los Shura no tienen alma, pero poseen un fuego interno que se alimenta de sus emociones.",,= Raza Base,La misma que la Raza base,,Fuerza o Destreza:Elegir +2; Constitución:+2,1; 2; 3; 4; 5; 6,Manejo de la Ira,"Tras gastar tu acción adicional, tus dos siguientes ataques hacen daño extra (1d6 de Fuerza) y tienen alcance aumentado (3 a lo ancho y 2 a lo largo) En los próximos 3T. Dura 3 turnos. A los niveles 5, 11 y 17, el daño aumenta en 1d6. Requiere un descanso corto para usarlo nuevamente.",Consumido por el Odio,"Cuando estás por debajo del 30% de vida, recibes los siguientes aumentos: +3 en Fuerza, +4 en Destreza y todos tus ataques activan 'Manejo de la Ira' automáticamente.",Sanación Espiritual,"Al asesinar a alguien, te curas 5 puntos de golpe (10 puntos si estás por debajo del 30% de vida). Cada asesinato suma 2 puntos permanentemente a la sanación de esta habilidad. Debes ser quien dé el golpe final, y la víctima debe ser una forma de vida grande o una criatura inteligente.",Llamas ardientes,"Al finalizar un Descanso Largo en el que no hayas tomado una vida en un rango de 2d8 días (Tirada ocultada por el DM) entrarás en un estado de ira frenética que durará 12h. Hasta que no finalicen esas 12h tu sed de sangre será insaciable, y requerirás de cada gramo de razón para no dejarte llevar. Si no se arrebatan vidas tras 1d4 de estas Crisis, el número de dados aumenta en 1d8. Si se arrebatan vidas en una cantidad considerable o en estado de Crisis, el número de dados desciende en 1d8. Nada impide al Shura entrar voluntariamente en este estado de descontrol, todo depende del ""Rechazo"" que tenga a su propia esencia.",,,,,,,,,,False,,,,,shura.json,razas/shura.png,1
Gnomos,Plano Material,"Seres que habitan usualmente en los bosques, utilizando grandes árboles como sus hogares. Su pequeño tamaño no los hace inofensivos, pues su gran afinidad a la magia los convierte en temibles hechiceros que no están dispuestos a que les pasen por encima. Como curiosidad, los Gnomos tienen tres nombres: motes dados por su familia, sus amistades y sus compañeros de trabajo o aventuras. Por ejemplo, un Gnomo podría llamarte 'Alfredo Cerebrito Tragalibros Zampabollos', aunque suelen usar su favorito.",Gnomos de los Bosques: +1 en Sabiduría. - - - Gnomos de las Rocas: +1 en Constitución.,5,200-500,,Constitución:+1|0; Inteligencia:+2; Sabiduría:+1|0,2,GNOMOS DE LOS BOSQUES: Hablar con Animales, Puedes comunicarte con pequeños animales de forma mágica.,GNOMOS DE LAS ROCAS: Pasar a Través de Roca, Puedes meterte en la roca y traspasarla lentamente (máximo 5m).,Mente Rápida,"Tienes ventaja en todas las tiradas de salvación de Carisma, Sabiduría o Inteligencia que traten de afectar tu mente mágicamente de manera directa (Leer mentes, Encantamientos, Zona de la Verdad…).",,,,,,,,,,,,False,,,,,gnomo.json,razas/gnomo.png,0
Elfos,Plano Material,"Los elfos, aunque sofisticados y complejos en sus costumbres, son comunes de encontrar en cualquier ciudad con buena salubridad de las tierras habitadas. Son finos, precisos y no buscan entretenerse en burdas banalidades. Ligeros y ágiles, son unos grandes combatientes que destacan en su intelecto y sus grandes dotes con el arco, además de su peculiar y curiosa habilidad de ser más ligeros que una pluma de cisne.",,6,♾️,,Destreza:+2; Inteligencia:+1,2; 3; 4,Peso Pluma,No activas trampas de presión ni te hundes en terrenos difíciles como la nieve o el barro.,Raíces Mágicas,Tienes ventaja en tiradas de salvación contra Encantamientos y no puedes ser dormido contra tu voluntad.,Trance,"Para realizar un descanso largo solo necesitas descansar 4 horas ininterrumpidas. Tampoco necesitas dormir, sino que entras en un estado de meditación.",,,,,,,,,,,,False,,,,,elfo.json,razas/elfo.png,0
Tieflings,Nueve Infiernos,"Los conocidos como 'Sin tierra' no proceden de este plano terrenal. Su verdadero origen está en el infierno, lugar del que sus gentes escaparon hace mucho y poblaron las tierras habitadas en búsqueda de un nuevo lugar al que llamar hogar, pero pocos han conseguido realmente ese objetivo. Debido a ello, muchos no destacan por su poder adquisitivo y se ven tentados por la delincuencia, razón por la que son mal vistos en algunos lugares.",,6,100-120,,Destreza:+2; Carisma:+1,2; 3; 4,Taumaturgia,Obtienes el truco 'Taumaturgia' a nivel 1.,Represión Infernal,"A nivel 3 puedes usar 'Represión Infernal' como conjuro de nivel 2, una vez por descanso largo.",Oscuridad,A nivel 5 puedes usar 'Oscuridad' una vez por descanso largo.,Resistencia Ígnea,El daño de fuego se reduce en un 50%.,,,,,,,,,,False,,,,,tiefling.json,razas/tiefling.png,0
Kobolds,Plano Material,"Los Kobolds son frecuentemente confundidos con dracónidos jóvenes, pero no pueden ser más diferentes los unos de los otros. Estos son más bajos en general, y sus escamas cumplen más una función decorativa y reproductiva que defensiva. Su agilidad y gran habilidad en el habla los hacen contrapartes muy interesantes de sus feroces versiones dracónicas: Un Kobold puede que no sea el mejor luchador, pero sus grandes dotes de actuación y sus movimientos veloces pueden marcar la diferencia en una aventura. Los kóbolds alcanzan la edad adulta a los 6 años y pueden vivir hasta 120 años, pero rara vez lo hacen.",,7,,60-120,Destreza:+2; Constitución:+1,2; 3,Aliento alcohólico,"No sufre los afectos negativos del alcohol pero si se emborrachan. Al beber alcohol, eres capaz de escupir fuego como acción. Este ataque toma diferentes formas dependiendo de la cantidad y calidad del alcohol. 

 -Baja Calidad: Descarga de Fuego (Escala con los Niveles del truco)
-Media Calidad: Bola de Fuego (Aumenta 1d6 a nivel 5,11 y 17)
-Alta Calidad: Tormenta de Fuego 

 Puedes usar este  rasgo una vez por Descanso Corto",Regeneración extrema,"Tus heridas, sean del tipo que sean, se regenerarán al cabo de 1 semana. Heridas mayores se regenerarán cuando el cuerpo pueda operar normalmente. Heridas mortales no se podrán curar (Decapitaciones, Destrucción de órganos vitales que no se traten rapidamente, etc)",Llanto dracónico,"Como acción extra, sueltas un grito a tus enemigos que se encuentran a 2c de ti. Hasta el comienzo de tu próximo turno, tú y tus aliados tenéis ventaja en las tiradas de ataque contra cualquiera de esos enemigos que puedan oírte. Puedes usar este rasgo una cantidad de veces igual a tu bonificación de competencia y recuperarás todos los usos gastados cuando termines un descanso largo.",,,,,,,,,,,,True,,,,,kobold.json,razas/kobold.png,0
Dracónidos,Abeir (Plano Material),"Descendientes de los dragones que alguna vez habitaron las tierras que ahora pisáis, llevan en su sangre herencia de lo que alguna vez fueron. Estos son seres con un comportamiento muy extremista: son grandes defensores de la paz o los mayores señores de la guerra jamás vistos. La neutralidad no está en su sangre, buscarán decantarse por un lado u otro siguiendo sus instintos y lo que su sangre les impulse a hacer. Las gruesas escamas que recubren su piel son duras y resistentes, algunas tanto que son codiciadas para hacer cotas de malla.",,6,90-150,,Fuerza:+2; Constitución:+1,3; 4,Armadura de Dragón,Tu CA base es de 13 + Destreza si no llevas armadura.,Herencia del Padre,"Obtienes una de estas habilidades para usar como acción (Descanso Corto). Estas habilidades aumentan en 1 su dado de daño a los niveles 5, 11 y 17:
- Fuego (Manos Ardientes): 3d6.
- Hielo (Ataque en Cono): 3d6.
- Veneno (Nube Tóxica): 2d6 x 2T.
- Eléctrico (Ola Atronadora): 2d8.
- Ácido (Salpicadura Ácida): 1d8 x 2 Objetivos.",Mordisco Sanador,Puedes atacar a una criatura cercana con un mordisco como acción de ataque. Produces 1d6 de daño + Fuerza y te curas el 100% del daño producido SIEMPRE Y CUANDO se dañe los PG's del enemigo y no PG's Temporales,,,,,,,,,,,,False,,,,,draconido.json,razas/draconido.png,0
Goblins Despiertos,Plano Material,"En la naturaleza, los goblins carecen de una inteligencia realmente desarrollada, no comprenden algo más allá de su tribu y sus costumbres, su idioma y su forma de vida. Sin embargo, en muy escasas ocasiones, algunos goblins nacen con la suficiente inteligencia como para aprender muchas cosas y vivir en una sociedad más compleja. Solo 5 de cada 100 goblins resultan ser 'Sociables'. Además, debido a su curiosa genética, las goblins hembras son muy escasas: solo 2 de cada 100 goblins son hembras, lo que naturalmente convierte a una goblin inteligente en algo tan escaso como curioso.",,7,30-50,,Destreza:+2; Sabiduría:+1,2,Visión en la Oscuridad,Puedes ver en la oscuridad hasta 60 pies como si fuera luz tenue.,Escape de Granuja,Puedes usar 'Destrabarse' o 'Esconderse' como acción adicional.,Golpe en la Espinilla,Añades tu modificador de Competencia a todo el daño que inflijas a una criatura de un tamaño mayor al tuyo.,Atracción por Necesidad,Tienes ventaja en cualquier interacción no agresiva con otros Goblins siempre y cuando seas hembra.,,,,,,,,,,False,,,,,goblin.json,razas/goblin.png,0
Semiorcos,Plano Material,"Temibles en combate, los semiorcos combinan la astucia de los humanos con la brutalidad de los orcos. Su presencia se hace denotar allá donde vayan, su caminar amenazante por naturaleza puede achantar hasta a los más valientes, y siempre que pelees contra uno sabrás que el combate será complicado. Debido a esto, no son muy bien vistos.",,6,60-80,,Fuerza:+2; Destreza:+1,3; 4,Ira Interior,Obtienes una carga de Furia (ver Bárbaro). Se recupera con 1 Descanso Corto.,Grito de Guerra,Como acción adicional puedes envalentonarte a ti mismo o a un aliado para que ataque con más fiereza. Añade tu Modificador de Fuerza al próximo ataque como daño.,Estandarte Viviente,"Si un enemigo ataca a un aliado estando a 1 casilla de ti, puedes emplear tu Reacción para atacar con tu arma.",,,,,,,,,,,,False,,,,,semiorco.json,razas/semiorco.png,0
Githyanki,Plano Astral,"Los Githyanki son famosos guerreros y brillantes soldados que, hace miles de años, escaparon del control de los Ilícidos. Como resultado de los experimentos realizados en ellos, son inmunes al control mental y a magias telepáticas. No hay militares más disciplinados que los Githyanki.",,6,100-200,,Fuerza:+2; Inteligencia:+1,3,Biblioteca del Conocimiento,"Una vez por descanso largo, puedes elegir una habilidad en la que volverte experto (doble competencia) durante 24 horas.",Mano Psiónica,"Obtienes el truco 'Mano de Mago', pero esta es invisible.",Conocimiento bélico,"Con solo unos dias de práctica, aprendes a usar cualquier arma.",,,,,,,,,,,,False,,,,,githyanki.json,razas/githyanki.png,0
