raceName,origen,raceDescription,bonusRules,movementSpeed,lifeSpan,longevity,attributes,sizes,ability1_name,ability1_description,ability2_name,ability2_description,ability3_name,ability3_description,ability4_name,ability4_description,ability5_name,ability5_description,ability6_name,ability6_description,ability7_name,ability7_description,ability8_name,ability8_description,languages,nightVision,relations,culture,subtypes,referenceLink,__file,image,isVariant
Drow,Infraoscuridad (Plano Material),"Provenientes del Underdark, los elfos oscuros son la definición de rudeza y suavidad fusionadas en una sola imagen. A diferencia de sus primos lejanos de la superficie, los Drow son más toscos, más directos en sus palabras y menos dispuestos a tener tantas formalidades. Sus habilidades destacan en el uso de la magia 'negra' o 'de mala reputación', y su buen manejo en la oscuridad es constante pues se crían en el oscuro Underdark.",,6,700-1000,,Fuerza:+1; Inteligencia:+2,3; 4,Visión en la Oscuridad,Puedes ver en la oscuridad total hasta 60 pies como si fuera luz tenue.,Magia feérica,A Nivel 1 obtienes el truco Luces Danzantes. A nivel 3 Obtienes el conjuro Fuego Feérico. A Nivel 5 Obtienes el conjuro Oscuridad. Puedes usar ambos conjuros 1 vez por Descanso Largo sin usar espacios de conjuro,Criatura de penumbra,Meditar en la oscuridad durante 4h seguidas otorga los mismos beneficios que un Descanso Largo y otorga +5 en tiradas de Percepción y Perspicacia durante 6H,,,,,,,,,,,,False,,,,,drow.json,razas/drow.png,0
Foxfolks,Feywild,"Estas curiosas criaturas provenientes del Feywild cuentan con una astucia y pillería innatas. Su naturaleza suele ser caótica, buscan aventuras y no suelen tener problemas en entablar amistades con otras razas. Sin embargo, son conflictivos a la hora de reconocer figuras de autoridad como reyes, líderes de cultos o dioses, pues para ellos su único monarca es el Rey del Feywild. Este Foxfolk, tan antiguo como la misma raza, controla y manifiesta las estaciones en todos los planos de la existencia. Por esta razón, lo veneran como un dios y, una vez al año, todos los Foxfolks van a rendirle tributo o entregarle regalos. Solo un Foxfolk sabe cómo llegar a su región del Feywild, y por naturaleza cuentan como feéricos.",,6,80-120,,Destreza:+2; Carisma:+1,2; 3,Semejanzas al Monarca,Obtienes competencia en las habilidades Perspicacia y Juego de Manos.,Maestro de Mentirosos,"Tus engaños tienen ventaja siempre que no te hayan pillado mintiendo anteriormente o si no ha oído rumores sobre ti. Esto aplica a tiradas de Intimidación, Interpretación, Persuasión y Engaño",Encanto Feérico,"Puedes emplear Hechizar persona como acción sin necesidad de un espacio de conjuro 1 vez por Descanso Corto. Si posees 4 o más de Carisma, puedes usarlo como conjuro de nivel 4",,,,,,,,,,,,False,,,,,foxfolk.json,razas/foxfolk.png,0
Grung,Plano Material (junglas/pantanos),"Los Grungs proceden de los pantanos, se alimentan de insectos y viven grandes aventuras explorando los vastos terrenos del mundo conocido. La valentía brilla en sus corazones con más intensidad según lo bajitos que sean. No hay ser más valiente y con más coraje que un Grung diminuto.","+2 en Destreza, +1 en Sabiduría.",8,30-50,,Destreza:+2; Sabiduría:+1,2; 3,Lengüetazo,"Puedes tomar objetos con tu lengua a una distancia de 4 casillas (6m). Esto también puede servirte para impulsarte a ti hacia un sitio en específico, aunque si llevas armadura Media o Pesada requerirás de realizar una Prueba de Atletismo",Nube Tóxica,"Como acción, generas una nube apestosa a 2 casillas alrededor de ti que te seguirá. Si un enemigo empieza su turno dentro de tu nube, deberá superar una tirada de Constitución. Si la falla, perderá su turno por vomitar y tambalearse.",Delicia,"Si hay insectos en la zona donde descanses, recuperarás 1d10 de vida adicional y te sacias.",,,,,,,,,,,,False,,,,,grung.json,razas/grung.png,0
Harengon,Feywild,"Los Harengon son una raza que no se especializa en el combate directo. Son excelentes arqueros, ágiles y resistentes, aunque carecen de habilidades para destacar en el arte marcial o la fuerza bruta. Su agilidad y destreza los convierten en aliados valiosos en situaciones estratégicas.",,7,70-100,,Destreza:+3,2; 3; 4,Sentidos Agudizados,"Obtienes competencia en Percepción, enfocada en estímulos acústicosAdemás, los ataques sorpresa no toman ventaja contra ti.",Suerte Feérica,"Posees 3 puntos de Suerte que se recuperan con descansos largos. Puedes gastar un punto para repetir una tirada hecha por ti o dirigida hacia ti (ataque, salvación, característica, etc.). Solo puede usarse una vez por tirada.",Salto Aumentado,"Puedes saltar más alto y/o más lejos de lo normal, aumentando significativamente tu capacidad de movimiento vertical y horizontal.",,,,,,,,,,,,False,,,,,harengon.json,razas/harengon.png,0
Insectoides,Plano Material,"Los Insectoides son una raza versátil y adaptativa, originada en regiones inhóspitas donde su capacidad para sobrevivir supera con creces a muchas otras especies. Sus cuerpos están cubiertos por resistentes caparazones que actúan como una armadura natural, y poseen una eficiencia metabólica que les permite prosperar con recursos limitados. Aunque sus sociedades tienden a ser comunales, su sentido de individualidad no se pierde, mostrando una mezcla única de colaboración y autoconservación. Vistos como pragmáticos y resilientes, los Insectoides han aprendido a prosperar donde otros perecen.","+2 en Sabiduría, +1 en Constitución.",6,,,Constitución:+1; Sabiduría:+2,1; 2; 3; 4,Coraza,Tu armadura natural es lo suficientemente dura como para que te proteja de ciertos ataques. Tu CA es 13 + Destreza.,Alimento escaso,"Solo consumes la mitad de la comida que una persona normal necesita al día (0,5 raciones). Además, la calidad de la comida no te afecta, ya sea basura o un plato gourmet.",Multitud,Tienes +4 en Salvadas contra ser Asustado si estás acompañado de al menos 3 individuos.,,,,,,,,,,,,False,,,,,insectoide.json,razas/insectoide.png,0
Goliats,Plano Material,"Los Goliats son imponentes gigantes que habitan en las montañas más altas y en regiones inhóspitas. Su piel gruesa y áspera, a menudo comparada con la piedra, les otorga una resistencia física impresionante. Esta raza es conocida por su tenacidad y su espíritu competitivo, viéndose a sí mismos como pruebas vivientes de la fuerza y la perseverancia. Con una longevidad que puede extenderse por siglos, los Goliats suelen convertirse en guardianes de sus comunidades o en aventureros que buscan desafíos dignos de su poder.",,6,,,Constitución:+3,3; 4,Gran tamaño,"Eres considerado 'Grande' contra los enemigos. Esto implica que no se te puede empujar, levantar ni mover por medio de la fuerza.",Piel pétrea,"Como reacción, puedes reducir el daño recibido por un ataque físico en 1d12 + Mod. Const. Puedes usar este rasgo tantas veces como tu Mod. de Constitución",Dureza en la sangre,No sufres penalizaciones por altas presiones atmosféricas ni por el frio extremo natural,,,,,,,,,,,,False,,,,,goliat.json,razas/goliat.png,0
Locathah,Plano Material (mares),"Los Locathah son seres marinos que tardaron mucho en relacionarse con las demás especies debido a la diferencia de clima. Aunque suelen ser algo extraños por esta falta de costumbre, sus excepcionales habilidades en combate seguro que los convierten en valiosos compañeros.",,6,70-120,,Fuerza:+2; Destreza:+1,2; 3; 4,En Terreno Conocido,Moverse en terreno difícil acuoso te otorga 2 casillas adicionales de movimiento y puedes respirar indefinidamente bajo el agua,Como en Casa,"Si realizas un descanso corto en el agua, te curas el doble de puntos de vida.",Zambullirse,Puedes teletransportarte entre charcos cercanos a voluntad usando tu acción adicional. También puedes arrastrar objetivos a través de los charcos.,,,,,,,,,,,,False,,,,,locahtah.json,razas/locahtah.png,0
Loxodon,Ravnica (Plano Material),"Los Loxodon, a pesar de ser grandes y fuertes, se han enfocado en el conocimiento y el estudio de las ciencias. Sin embargo, su fuerza y su pasado como guerreros les permiten partir a sus enemigos en dos si es necesario. Son conocidos por su paciencia y empatía, aunque también por su comportamiento errático y poco predecible.",,6,120-200,,Constitución:+2; Sabiduría:+1,3; 4; 5,Piel Dura,Tu CA sin armadura es 17 + Modificador de Constitución. Puedes usar esta CA sin armadura incluso si llevas puesta una armadura que te proporcione una menor CA.,Tamaño Considerable,"Eres considerado Grande para efectos de tu capacidad de carga y cuando determines si puedes empujar, arrastrar o cargar algo. También se considera que ocupas un espacio mayor a efectos de combate.",Furia Primal,"Obtienes una carga de Furia Primitiva. Al consumirla, puedes intercambiar temporalmente tu característica más alta por Fuerza (por ejemplo, si tienes 20 de Inteligencia, pasas a tener 20 de Fuerza). Tu trompa se endurece y cuenta como un arma contundente (2d6 + Modificador de Fuerza).",Segundo Ataque con Furia,"A nivel 5, mientras dure tu Furia Primal, puedes realizar un segundo ataque en tu turno. La Furia dura 5 turnos (medio minuto).",,,,,,,,,,False,,,,,loxodon.json,razas/loxodon.png,0
Micónido,Infraoscuridad (Plano Material),"Los Micónidos son habitantes del subsuelo y los bosques oscuros, seres fúngicos que parecen caminar directamente desde el corazón de la tierra. Cada Micónido forma parte de una colmena unida psíquicamente, compartiendo pensamientos, emociones y recuerdos a través de esporas místicas. Aunque carecen de boca para hablar, su comunicación telepática es sorprendentemente compleja, permitiéndoles interactuar tanto con aliados como con enemigos. Su apariencia varía desde hongos brillantes y coloridos hasta formas más sombrías y cubiertas de musgo, reflejo de los ecosistemas donde nacieron. Eternos mientras su colmena persista, los Micónidos son testigos silenciosos de la naturaleza en su estado más puro.",,5,,,Inteligencia:+1; Sabiduría:+2,1; 2; 3; 4,Pensamiento Múltiple,"El control mental no puede dominarte por completo; solo te desconecta temporalmente de la Colmena Central. Mientras estés desconectado, sufres un -2 en Sabiduría hasta que realices un descanso corto. Para reconectarte, necesitas una hora de meditación ininterrumpida.",Alimento Fúngico,"No necesitas comer mientras descanses en una tierra húmeda, ya que puedes absorber nutrientes directamente del entorno.",Esporas Cortex,"Puedes infectar a criaturas aliadas o enemigas con tus esporas a través de las vías respiratorias. Esto crea un enlace telepático que te permite comunicarte con ellas. Si no las infectas nuevamente en 24 horas, el enlace se pierde.",,,,,,,,,,,,False,,,,,miconido.json,razas/miconido.png,0
Muroideos,Golarion (Plano Material),"Humanoides pequeños, parecidos a roedores, originarios de cavernas y zonas desérticas/subterráneas; ahora suelen vivir en caravanas nómadas o barrios urbanos, expertos en comercio, acumuladores y manipuladores.",,8c,60-80,,Fuerza:-2; Destreza:+2; Inteligencia:+2,2,Agilidad natural,+1 a la CA. Pueden moverse a través de espacios ocupados por una o varias criaturas usando la reacción de esa ronda.,Furia acorralada,"Con la mitad o menos de los PG y sin aliados conscientes a 4C, obtiene +2 a ataques cuerpo a cuerpo y a la CA.",Remendón,Bonificador racial +2 en Artesanía (alquimia) y Usar objeto mágico.,Esconderse,Bonificador racial +2 en Sigilo. ,Olfato,"Obtiene la competencia en Olfato y Oído, pero penalizador -3 en Percepción basada en vista.",,,,,,,infracomún,True,Humanos:Buena relación; suelen compartir zonas urbanas; Enanos:Fricción; se sienten criticados y territoriales; Elfos:Compatibles; atraídos por su cultura y arte,,,https://pathfinder-es.fandom.com/es/wiki/R%C3%A1tido_(raza_jugable),muroideo.json,razas/muroideo.png,0
Owlers,Arcavios (Plano Material),"Los Owlfolk son una raza sabia y ágil, conocidos por su gran percepción y habilidades naturales que reflejan sus características aviares. Sus cabezas giratorias les otorgan ventajas únicas en diversas situaciones.",,6,70-120,,Destreza:+1; Sabiduría:+2,2; 3; 4,Giro Completo,"Puedes rotar tu cabeza 359º, lo que te otorga Competencia en Percepción, o Experto si ya eres Competente en esta habilidad.",Caída de Pluma,"El daño por caída se reduce en un 50% y caes más lentamente, minimizando el impacto.",Visión en la Oscuridad,"Puedes ver en la oscuridad a una distancia considerable, lo que te permite moverte y actuar eficazmente en condiciones de poca luz.",,,,,,,,,,,,False,,,,,owlfolk.json,razas/owlfolk.png,0
Ursoi,Plano Material,"Los Ursoi viven en los bosques llevando una vida tranquila centrada en comer, descansar y ocasionalmente procrear. Sin embargo, si se les da motivos para tomar un arma, no dudarán en lanzarse al campo de batalla. Se dice que cuanto más tiempo peleas contra un Ursoi, más parece resistir los golpes.","+4 en Fuerza, -2 en pruebas de Destreza.",5,80-120,,Fuerza:+4; Destreza:-2; Sabiduria:+1,3; 4,Resistencia a la Adversidad,Cada golpe que des genera puntos de golpe temporales equivalentes a tu Modificador de Fuerza. Estos puntos se acumulan y se mantienen hasta el inicio de tu siguiente turno,Rugido,"Emites un rugido en un área de 5 casillas alrededor. Elige uno de los efectos:
- +2 de CA para todos los aliados dentro del área y para ti (hasta el inicio de tu próximo turno).
- Asustas a los enemigos dentro del área (Salvación de Carisma: DC = 8 + Mod. Fuerza + Mod. Competencia).
- +1d4 en tiradas de ataque para todos tus aliados (hasta el inicio de tu próximo turno).
- +2 casillas de movimiento base para todos tus aliados (dura 2 turnos).
Puedes usar este rasgo tantas veces como tu Modificador de Fuerza.",,,,,,,,,,,,,,False,,,,,ursoi.json,razas/ursoi.png,0
Tabaxis,Plano Material (Maztica/Chult),"Los Tabaxis son muy comunes tanto en ciudades como en campo abierto. Son seres versátiles, algo caprichosos, pero astutos como ellos solos. Cuidado con sus garras.",,7,70-90,,Destreza:+2; Inteligencia:+1,2; 3; 4,Escalada,Tu agilidad gatuna te permite llegar a lugares normalmente inaccesibles por altura.,Ojos de Gato,Tienes visión en la oscuridad hasta 60 pies como si fuera luz tenue.,Garras,"Tus garras pueden usarse como un arma cuerpo a cuerpo. Hacen 1d6 de daño cortante y usan Destreza para atacar. Además, pueden usarse como ganzúas, pero con mayor dificultad y riesgo de romperse.",Competencia Felina,"Obtienes competencia en la habilidad Percepción, específicamente usando el sentido del olfato.",,,,,,,,,,False,,,,,tabaxi.json,razas/tabaxi.png,0
Throthogas,Plano Material (origen desconocido),"Los Throthogas son una raza longeva, con algunos ejemplares alcanzando los 300 años sin problemas. Tienen una característica única: crecen muy ligeramente con cada año que pasa. Sus fuertes armaduras naturales y su gran fuerza física los hacen adversarios temibles si se les enfada, pero suelen ser poco agresivos si no se les provoca.","+2 en Constitución, +1 en Fuerza.",5,200-300,,Fuerza:+1; Constitución:+2,3; 4,Caparazón Blindado,"Siempre que no lleves armadura, cuando un enemigo impacte con un ataque sobre ti, este se tambaleará y tendrá desventaja en su próximo ataque. Solo 1 vez por enemigo cada ronda. Además, tu armadura base aumenta a 15 pero solo puede beneficiarse de un máximo de Destreza de +2 (15 + 2 = 17)",Intuición Natural,"Obtienes competencia en una de las siguientes habilidades a elección: Naturaleza, Supervivencia, Medicina o Trato con Animales.",Escondite amurallado,"Al meterte dentro de tu caparazón te haces resistente al daño Perforante y Cortante. No puedes emplear reacciones estando dentro de tu Caparazón, tu visión se reduce muchísimo y requieres de una acción adicional para salir de tu Caparazón",,,,,,,,,,,,False,,,,,throthoga.json,razas/throthoga.png,0
Vanaras,"Vudra (Golarion, Plano Material)","Los Vanaras son una raza ágil y astuta, conocidos por su facilidad para moverse a través de los entornos más complicados con agilidad prodigiosa. Descendientes y aprendices del legendario Wukong, el Rey Mono, combinan destreza física con habilidades únicas que reflejan su herencia marcial y espiritual.",,7,40-80,,Fuerza:+2; Sabiduría:+1,2; 3,Agilidad Prodigiosa,"Tienes competencia en Acrobacias gracias a la gran genética de tu especie, que te permite trepar y balancearte con facilidad. Además, una vez por descanso largo, puedes emplear tu reacción para esquivar automáticamente una Salvada de Destreza. Debes usar esta habilidad antes de lanzar el dado.",Toque Paralizante,"Aprendido de los descendientes y alumnos de Wukong, el Rey Mono. Una vez por descanso corto, puedes usar 'Inmovilizar Persona' como acción adicional. Esta inmovilización dura hasta 10 turnos o hasta que el objetivo realice con éxito una Salvada de Sabiduría.",,,,,,,,,,,,,,False,,,,,vanara.json,razas/vanara.png,0
Lizerin,Plano Material,"Algunos sabios creen que los Lizardfolk son parientes lejanos de los dragonborn y kobolds, pero han habitado el Plano Material desde su creación como una raza única. Dotados de defensas físicas notables y una conexión mística con la naturaleza, los hombres lagarto prosperan en condiciones que serían mortales para otros, lo que alimenta mitos sobre su propósito divino como guardianes de las maravillas naturales.","+2 en Constitución, +1 en Fuerza.",7,,,Sabiduria:+1; Constitución:+2,2; 3; 4,Instinto Primitivo,"Puedes crear armas o herramientas simples usando materiales básicos como huesos, piedras o ramas. Esta habilidad refleja tu capacidad innata para adaptarte a cualquier entorno.",Sangre Venenosa,"Tu sangre está impregnada de toxinas naturales. Eres inmune al daño de veneno y, si recibes este tipo de daño, te curas un 50% de lo recibido.",Instinto Salvaje,"Eres competente en Percepción para detectar peligros ocultos. Si ya eres competente, tienes ventaja al buscar amenazas.",,,,,,,,,,,,False,,,,,lizerin.json,razas/lizerin.png,0
Wolven,Plano Material,"Los Wolven son una raza humanoide con rasgos lupinos, conocidos por su instinto de manada y sus habilidades sociales innatas. Poseen un agudo sentido del olfato que los hace expertos rastreadores y detectores de peligros. Su cultura se basa en la estructura de la manada, donde el liderazgo es una posición respetada y vinculada emocionalmente. Aunque físicamente imponentes, los Wolven son también criaturas reflexivas, capaces de mostrar una lealtad inquebrantable hacia quienes consideran parte de su familia. En combate, destacan por su capacidad de trabajar en equipo y aprovechar su conexión con la manada para obtener ventajas tácticas.",,7,60-80,,Destreza:+1; Constitución:+2,2; 3; 4,Olfato de Leyenda,"El agudo sentido del olfato de los Wolven les otorga ventaja en pruebas de Perspicacia y Percepción relacionadas con olores. Pueden detectar rastros de miedo, identificar presencias cercanas o descubrir detalles ocultos en el ambiente a través de su nariz.",Camada,"Los Wolven forman fuertes lazos con su manada. Puedes designar a un aliado como Líder de la Manada o tomar tú mismo ese rol. Como acción adicional, el Líder puede ordenar a un aliado dentro de un rango de 10 casillas que realice una de las siguientes acciones: Esconderse, Atacar, Destrabarse o Moverse la mitad de su velocidad. La orden consume la reacción del aliado, excepto si es un Wolven (En este caso no consumirá ningún recurso). Esta habilidad solo puede usarse si existe respeto mutuo dentro de la manada; si el Líder pierde su autoridad o la confianza de los miembros, esta habilidad no estará disponible.",,,,,,,,,,,,,,False,,"familyStructure:La sociedad Wolven gira en torno a la manada, una estructura social donde el respeto y la confianza mutua son fundamentales. El liderazgo se obtiene a través de actos de valentía y capacidad estratégica, y los vínculos entre los miembros son tan fuertes que traicionar a la manada es visto como la mayor ofensa.; appearance:Los Wolven tienen rasgos físicos que recuerdan a los lobos: orejas puntiagudas, ojos penetrantes, pelajes de variados colores y colas robustas. Su tamaño puede variar desde pequeños y ágiles hasta grandes y poderosos, adaptándose a diferentes roles dentro de la manada.; behavior:Enfrentan los desafíos con una mezcla de instinto y estrategia. Aunque valoran la libertad, sienten una necesidad intrínseca de formar vínculos estrechos con otros, ya sea con su propia especie o con aliados confiables de otras razas.",,,wolven.json,razas/wolven.png,0
Minotauro,Ravnica (Plano Material),"Los Minotauros son criaturas imponentes, mitad hombre y mitad toro, conocidos por su fuerza bruta y resistencia inquebrantable. Con enormes cuernos que simbolizan su ferocidad en combate, caminan con la autoridad de quienes han dominado tanto la naturaleza como su propio instinto salvaje. Aunque muchos los consideran bestias, los Minotauros poseen una rica tradición de historias y rituales, transmitidas por generaciones, que celebran su conexión con los laberintos de la vida y la lucha constante por superar cualquier obstáculo.",,6,,,Fuerza:+1; Constitución:+2,3; 4,Embestida,"Como acción, puedes activar 'Embestida'. Cargas con una furia sobrenatural hacia un objetivo, avanzando hasta detenerte en un obstáculo suficientemente resistente. Los enemigos en tu camino (3 casillas de amplitud) deben realizar una salvada de Acrobacias (Destreza). Si fallan, son arrastrados hasta el final de la carga y reciben 1d8 de daño por cada objeto endeble atravesado + 1d8 por tu Modificador de Fuerza. Puedes usar esta habilidad (1 + Mod. Fuerza) por Descanso largo.",Furia de las Bestias,Tienes ventaja para evitar quedar atrapado en redes u otras restricciones similares. Puedes usar una salvada de Fuerza para liberarte con facilidad.,,,,,,,,,,,,,,False,,,,,minotauro.json,razas/minotauro.png,0
Yuan-Ti,Plano Material (junglas),"Los Yuan-Ti son los primos humanoides de las Lamias, conservando sus instintos reptilianos y la capacidad de causar gran daño con su veneno. Se enfocan en el estudio, la meditación, la medicina y el combate disciplinado. Valoran profundamente sus crestas, que consideran un símbolo de belleza, tradición y estatus. Son devotos de la religión, la tradición y el estudio filosófico, disfrutando especialmente de conversaciones intelectuales.",,6,80-120,,Fuerza:+2; Inteligencia:+1,2; 3,Intimidación Animal,"Todo ser vivo no inteligente (5 de Inteligencia o menos) puede ser intimidado y no te atacará, siempre que no sea más grande que tú. Si la tirada de Intimidación es superior a 15, huirá aunque eso implique recibir un golpe de oportunidad.",Inmunidad a Venenos,Eres completamente inmune al daño por veneno y a las condiciones relacionadas con venenos.,Mordisco de Acero,"Puedes imbuir tus armas y las de tus compañeros con tu veneno usando tu acción adicional o reacción. El daño extra depende de tu nivel:
- Nivel 1-5: 1d4
- Nivel 6-11: 1d6
- Nivel 12-17: 1d8
- Nivel 18-20: 1d10",,,,,,,,,,,,False,,,"Purasangre: Los Yuan-Ti con cresta, considerados más bellos y respetados dentro de su cultura.; Sangre Sucia: Los Yuan-Ti sin cresta, a menudo considerados de menor estatus pero igualmente capaces y disciplinados.",,yuan-ti.json,razas/yuan-ti.png,0
Kenkus,Plano Material,"Los Kenkus aprovechan su astucia e inteligencia para salir de las situaciones más enrevesadas que se les presenten. Dales tiempo y algunos recursos, y ten claro que un Kenku siempre irá un paso por delante de ti. Sin embargo, su tentación por tomar algo brillante puede jugarles en contra. Todo ave parlanchina es considerada un Kenku.",,7,60-100,,Sabiduría:+1; Carisma:+2,2; 3,Mimetismo,"Puedes imitar cualquier voz con tan solo escucharla. Además, puedes copiar una caligrafía de manera exacta e indistinguible.",Grandes Interpretadores,Eres competente en la habilidad Interpretación siempre y cuando el enfoque sea en imitar una voz.,,,,,,,,,,,,,,False,,,,,kenku.json,razas/kenku.png,0
